problem,brand,repair_status,event_year,age
configuration,unknown,fixed,2018,
unknown,unknown,fixed,2014,
unknown,unknown,fixed,2014,
boot,unknown,fixed,2019,
virus/malware,lenovo,fixed,2015,
internal storage,unknown,fixed,2019,
unknown,unknown,fixed,2019,
performance,unknown,repairable,2019,
performance,unknown,fixed,2019,
performance,apple,fixed,2019,
performance,unknown,repairable,2019,
configuration,unknown,repairable,2019,
overheating,unknown,repairable,2019,
unknown,apple,unknown,2015,
integrated screen,asus,repairable,2019,
internal damage,unknown,repairable,2019,
integrated screen,unknown,repairable,2019,
power/battery,unknown,repairable,2019,
overheating,apple,repairable,2015,
case/chassis,lenovo,repairable,2019,
integrated media component,unknown,repairable,2019,
integrated optical drive,unknown,fixed,2019,
other,unknown,fixed,2019,
unknown,unknown,end of life,2019,
unknown,unknown,fixed,2015,
unknown,apple,fixed,2019,
performance,apple,fixed,2019,
unknown,unknown,fixed,2015,
power/battery,acer,fixed,2019,
integrated screen,apple,repairable,2019,
integrated screen,acer,repairable,2019,
integrated keyboard,unknown,repairable,2019,
unknown,unknown,repairable,2019,
power/battery,acer,repairable,2015,
power/battery,unknown,fixed,2019,
boot,unknown,end of life,2019,
power/battery,unknown,repairable,2019,
integrated media component,unknown,fixed,2019,
overheating,unknown,fixed,2019,
performance,unknown,fixed,2019,
integrated screen,hp,repairable,2015,
internal storage,toshiba,repairable,2015,
unknown,unknown,end of life,2019,
unknown,asus,fixed,2019,
internal damage,apple,repairable,2019,
integrated keyboard,dell,fixed,2015,
boot,asus,fixed,2015,
ports/slots/connectors,apple,fixed,2019,
power/battery,unknown,end of life,2019,
unknown,unknown,fixed,2015,
integrated optical drive,unknown,repairable,2019,
performance,unknown,repairable,2019,
operating system,unknown,fixed,2019,
ports/slots/connectors,samsung,end of life,2013,
unknown,unknown,fixed,2015,
operating system,unknown,fixed,2019,
boot,unknown,repairable,2019,
virus/malware,unknown,fixed,2019,
integrated keyboard,unknown,fixed,2019,
performance,unknown,fixed,2019,
boot,unknown,fixed,2019,
performance,unknown,repairable,2019,
operating system,unknown,repairable,2019,
integrated screen,unknown,fixed,2019,
performance,unknown,fixed,2019,
ports/slots/connectors,unknown,fixed,2019,
unknown,hp,fixed,2019,
virus/malware,unknown,fixed,2019,
integrated screen,unknown,repairable,2015,
performance,dell,repairable,2019,
integrated screen,unknown,repairable,2019,
internal damage,asus,end of life,2019,
operating system,hp,repairable,2019,
unknown,unknown,repairable,2019,
multiple,apple,repairable,2019,
power/battery,apple,repairable,2019,
virus/malware,unknown,fixed,2019,
boot,toshiba,repairable,2013,
performance,unknown,fixed,2019,
operating system,unknown,fixed,2019,
other,unknown,fixed,2019,
configuration,unknown,repairable,2019,
unknown,unknown,end of life,2019,
unknown,unknown,end of life,2019,
system board,unknown,repairable,2019,
performance,unknown,fixed,2015,
integrated keyboard,unknown,fixed,2019,
performance,unknown,fixed,2019,
configuration,apple,fixed,2019,
integrated screen,unknown,end of life,2019,
system board,unknown,fixed,2019,
internal storage,unknown,fixed,2019,
configuration,unknown,fixed,2019,
performance,unknown,fixed,2019,
performance,unknown,fixed,2019,
unknown,unknown,fixed,2019,
integrated pointing device,unknown,fixed,2019,
performance,unknown,fixed,2019,
performance,apple,fixed,2019,
integrated keyboard,unknown,repairable,2019,
performance,unknown,fixed,2019,
integrated pointing device,unknown,fixed,2015,
ports/slots/connectors,unknown,fixed,2019,
integrated keyboard,dell,repairable,2019,
ports/slots/connectors,unknown,fixed,2015,
integrated keyboard,unknown,repairable,2019,
overheating,lenovo,unknown,2019,
unknown,apple,fixed,2019,
configuration,unknown,fixed,2013,
boot,unknown,end of life,2019,
performance,unknown,fixed,2019,
performance,unknown,end of life,2019,
internal storage,unknown,fixed,2019,
integrated media component,unknown,unknown,2015,
performance,unknown,fixed,2019,
performance,unknown,repairable,2019,
virus/malware,unknown,fixed,2019,
configuration,unknown,fixed,2019,
virus/malware,unknown,fixed,2019,
configuration,unknown,fixed,2019,
unknown,unknown,fixed,2019,
boot,unknown,fixed,2019,
boot,unknown,end of life,2019,
unknown,unknown,fixed,2015,
unknown,unknown,end of life,2019,
unknown,unknown,repairable,2019,
unknown,unknown,end of life,2015,
unknown,unknown,repairable,2019,
multiple,hp,end of life,2019,
operating system,unknown,fixed,2019,
operating system,unknown,fixed,2019,
unknown,apple,repairable,2019,
integrated screen,apple,repairable,2019,
integrated screen,toshiba,repairable,2019,
virus/malware,unknown,fixed,2019,
power/battery,lenovo,repairable,2019,
configuration,acer,fixed,2019,
unknown,unknown,fixed,2019,
unknown,unknown,fixed,2019,
unknown,unknown,fixed,2019,
unknown,unknown,fixed,2019,
unknown,unknown,fixed,2019,
unknown,unknown,end of life,2015,
other,unknown,fixed,2019,
internal storage,apple,fixed,2015,
power/battery,asus,end of life,2013,
system board,unknown,repairable,2019,
unknown,unknown,end of life,2019,
virus/malware,hp,repairable,2019,
multiple,apple,fixed,2019,
unknown,toshiba,end of life,2019,
performance,unknown,fixed,2015,
boot,unknown,end of life,2019,
boot,unknown,fixed,2019,
boot,unknown,end of life,2019,
boot,unknown,repairable,2019,
integrated pointing device,unknown,fixed,2019,
boot,toshiba,end of life,2013,
integrated screen,unknown,end of life,2019,
internal storage,unknown,end of life,2019,
internal damage,lenovo,end of life,2019,
ports/slots/connectors,hp,repairable,2019,
power/battery,hp,repairable,2019,
performance,dell,end of life,2013,
unknown,lenovo,unknown,2019,
configuration,hp,repairable,2015,
virus/malware,samsung,fixed,2015,
integrated screen,toshiba,repairable,2015,
system board,lenovo,repairable,2019,
boot,apple,fixed,2019,
overheating,apple,fixed,2019,
configuration,apple,fixed,2019,
configuration,apple,fixed,2019,
unknown,apple,fixed,2019,
unknown,apple,fixed,2019,
overheating,unknown,fixed,2019,
configuration,unknown,fixed,2019,
performance,unknown,fixed,2019,
operating system,unknown,fixed,2019,
operating system,unknown,fixed,2019,
performance,unknown,fixed,2019,
overheating,unknown,fixed,2019,
configuration,unknown,fixed,2019,
system board,unknown,fixed,2019,
performance,unknown,fixed,2019,
configuration,unknown,fixed,2019,
unknown,unknown,fixed,2019,
performance,unknown,fixed,2019,
performance,unknown,fixed,2019,
boot,unknown,fixed,2019,
boot,unknown,fixed,2019,
configuration,unknown,fixed,2019,
integrated screen,unknown,fixed,2019,
ports/slots/connectors,unknown,fixed,2019,
operating system,unknown,fixed,2019,
unknown,unknown,fixed,2019,
unknown,unknown,fixed,2019,
boot,apple,fixed,2019,
unknown,unknown,repairable,2019,
performance,unknown,end of life,2019,
boot,unknown,repairable,2019,
configuration,unknown,repairable,2019,
unknown,unknown,end of life,2019,
system board,dell,end of life,2019,
unknown,hp,unknown,2019,
configuration,dell,repairable,2015,
integrated media component,apple,repairable,2015,
performance,packard bell,fixed,2013,
unknown,unknown,unknown,2019,
performance,unknown,repairable,2019,
configuration,asus,repairable,2019,
system board,sony,repairable,2019,
internal damage,apple,repairable,2019,
integrated screen,apple,repairable,2013,
ports/slots/connectors,unknown,fixed,2019,
case/chassis,unknown,repairable,2019,
ports/slots/connectors,unknown,repairable,2019,
unknown,unknown,end of life,2015,
boot,lenovo,fixed,2019,
other,unknown,repairable,2019,
performance,unknown,fixed,2019,
ports/slots/connectors,unknown,fixed,2019,
unknown,unknown,repairable,2019,
operating system,unknown,fixed,2019,
performance,unknown,repairable,2019,
boot,unknown,repairable,2019,
overheating,unknown,fixed,2019,
performance,unknown,fixed,2019,
performance,unknown,fixed,2019,
integrated pointing device,samsung,fixed,2015,
integrated screen,hp,fixed,2015,
ports/slots/connectors,acer,repairable,2019,
system board,apple,end of life,2015,
ports/slots/connectors,apple,end of life,2015,
power/battery,unknown,fixed,2013,
power/battery,unknown,repairable,2019,
system board,asus,fixed,2015,
unknown,unknown,repairable,2019,
overheating,compaq,fixed,2015,
power/battery,unknown,fixed,2013,
case/chassis,asus,fixed,2015,
performance,unknown,fixed,2015,
performance,unknown,fixed,2015,
configuration,unknown,fixed,2015,
boot,unknown,fixed,2013,
performance,unknown,fixed,2019,
unknown,unknown,end of life,2019,
internal storage,apple,repairable,2015,
internal storage,unknown,fixed,2019,
case/chassis,toshiba,repairable,2019,
boot,unknown,repairable,2013,
power/battery,unknown,repairable,2019,
operating system,acer,fixed,2019,
operating system,hp,fixed,2019,
performance,apple,repairable,2015,
operating system,acer,fixed,2019,
integrated screen,fujitsu,fixed,2019,
boot,toshiba,fixed,2019,
integrated screen,unknown,repairable,2019,
case/chassis,unknown,fixed,2019,
integrated keyboard,unknown,repairable,2019,
configuration,unknown,fixed,2019,
configuration,unknown,fixed,2019,
integrated screen,unknown,repairable,2019,
configuration,unknown,fixed,2019,
unknown,unknown,end of life,2019,
configuration,unknown,repairable,2019,
integrated screen,apple,repairable,2015,
configuration,dell,fixed,2019,
integrated keyboard,toshiba,repairable,2019,
unknown,unknown,repairable,2019,
boot,unknown,repairable,2019,
configuration,unknown,repairable,2019,
system board,unknown,repairable,2013,
configuration,asus,fixed,2015,
power/battery,dell,repairable,2019,
case/chassis,unknown,fixed,2015,
configuration,unknown,repairable,2015,
integrated screen,compaq,fixed,2015,
power/battery,unknown,fixed,2015,
unknown,unknown,unknown,2019,
power/battery,unknown,fixed,2015,
case/chassis,qilive,fixed,2019,
unknown,vaio,fixed,2019,
multiple,unknown,repairable,2019,
operating system,unknown,repairable,2019,
other,unknown,repairable,2019,
boot,unknown,repairable,2019,
performance,unknown,fixed,2019,
overheating,unknown,fixed,2019,
integrated screen,unknown,repairable,2019,
configuration,unknown,fixed,2019,
configuration,unknown,fixed,2019,
case/chassis,unknown,repairable,2019,
integrated screen,unknown,repairable,2019,
performance,unknown,fixed,2019,
boot,unknown,end of life,2015,
performance,toshiba,fixed,2015,
system board,unknown,repairable,2019,
performance,apple,repairable,2015,
performance,unknown,end of life,2019,
performance,unknown,fixed,2019,
performance,unknown,fixed,2019,
performance,unknown,fixed,2019,
integrated screen,unknown,repairable,2019,
unknown,unknown,fixed,2015,
integrated screen,unknown,repairable,2019,
integrated screen,unknown,repairable,2019,
integrated screen,unknown,repairable,2019,
performance,unknown,repairable,2019,
performance,unknown,repairable,2019,
configuration,unknown,fixed,2019,
performance,unknown,repairable,2019,
boot,unknown,fixed,2019,
power/battery,unknown,fixed,2019,
integrated keyboard,unknown,end of life,2019,
integrated screen,unknown,repairable,2019,
configuration,unknown,repairable,2019,
overheating,unknown,fixed,2019,
boot,unknown,fixed,2019,
performance,unknown,repairable,2019,
case/chassis,mac,repairable,2019,
power/battery,apple,end of life,2013,
unknown,unknown,unknown,2019,
virus/malware,unknown,fixed,2019,
overheating,unknown,repairable,2019,
boot,unknown,end of life,2019,
performance,unknown,repairable,2019,
boot,unknown,repairable,2019,
configuration,unknown,repairable,2019,
ports/slots/connectors,unknown,repairable,2019,
configuration,unknown,fixed,2019,
integrated pointing device,unknown,end of life,2019,
boot,unknown,repairable,2019,
performance,unknown,fixed,2019,
performance,unknown,repairable,2019,
performance,unknown,repairable,2019,
performance,unknown,repairable,2019,
performance,unknown,repairable,2019,
power/battery,unknown,repairable,2019,
performance,unknown,repairable,2019,
integrated screen,unknown,repairable,2019,
performance,unknown,end of life,2019,
boot,unknown,fixed,2019,
boot,unknown,end of life,2019,
performance,unknown,fixed,2019,
boot,unknown,end of life,2019,
boot,unknown,end of life,2019,
boot,unknown,repairable,2019,
unknown,unknown,fixed,2019,
performance,unknown,repairable,2019,
overheating,toshiba,fixed,2019,
performance,unknown,fixed,2015,
performance,acer,fixed,2019,
performance,unknown,fixed,2019,
other,unknown,fixed,2019,
performance,unknown,fixed,2019,
integrated keyboard,unknown,repairable,2019,
unknown,unknown,repairable,2019,
integrated screen,asos,repairable,2019,
unknown,lenovo,fixed,2019,
unknown,unknown,end of life,2019,
unknown,acer,fixed,2019,
unknown,acer,end of life,2019,
unknown,unknown,fixed,2019,
boot,unknown,fixed,2019,
performance,unknown,fixed,2019,
integrated pointing device,unknown,repairable,2019,
performance,unknown,repairable,2019,
internal damage,unknown,end of life,2019,
ports/slots/connectors,unknown,repairable,2019,
multiple,unknown,fixed,2019,
configuration,unknown,fixed,2019,
boot,unknown,fixed,2019,
configuration,unknown,fixed,2015,
operating system,unknown,fixed,2015,
operating system,sony,fixed,2019,
operating system,unknown,repairable,2019,
operating system,unknown,fixed,2019,
performance,unknown,fixed,2019,
multiple,unknown,end of life,2019,
integrated screen,unknown,repairable,2019,
performance,unknown,fixed,2019,
case/chassis,unknown,repairable,2019,
configuration,unknown,fixed,2015,
performance,apple,fixed,2015,
overheating,unknown,fixed,2015,
unknown,dell,repairable,2019,
performance,hp,fixed,2019,
unknown,dell,fixed,2019,
unknown,sony,fixed,2019,
unknown,lenovo,repairable,2019,
unknown,unknown,repairable,2015,
ports/slots/connectors,unknown,fixed,2015,
power/battery,unknown,fixed,2015,
overheating,unknown,fixed,2015,
integrated keyboard,unknown,fixed,2019,
operating system,unknown,fixed,2019,
power/battery,unknown,repairable,2019,
boot,unknown,repairable,2019,
performance,unknown,repairable,2019,
boot,unknown,fixed,2019,
power/battery,asus,repairable,2015,
integrated keyboard,unknown,fixed,2019,
overheating,unknown,fixed,2019,
power/battery,hp,end of life,2015,
integrated screen,dell,repairable,2015,
power/battery,dell,repairable,2015,
operating system,unknown,repairable,2015,
performance,unknown,fixed,2019,
performance,unknown,fixed,2019,
performance,unknown,fixed,2019,
internal storage,unknown,repairable,2019,
performance,unknown,fixed,2019,
performance,unknown,repairable,2019,
power/battery,unknown,repairable,2019,
power/battery,apple,repairable,2015,
ports/slots/connectors,apple,repairable,2019,
ports/slots/connectors,unknown,fixed,2019,
boot,unknown,repairable,2019,
boot,unknown,repairable,2019,
boot,unknown,repairable,2019,
unknown,samsung,repairable,2015,
configuration,unknown,repairable,2015,
configuration,sony,fixed,2015,
performance,acer,repairable,2015,
power/battery,babyliss,end of life,2019,
virus/malware,hp,repairable,2019,
power/battery,unknown,fixed,2019,
power/battery,unknown,repairable,2019,
overheating,hp,repairable,2015,
unknown,asus,fixed,2015,
other,unknown,fixed,2019,
case/chassis,unknown,fixed,2015,
integrated screen,dell,repairable,2019,
integrated keyboard,samsung,repairable,2019,
unknown,unknown,repairable,2015,
case/chassis,unknown,repairable,2019,
boot,unknown,repairable,2019,
operating system,apple,fixed,2019,
unknown,unknown,fixed,2015,
unknown,hp,fixed,2019,
operating system,unknown,fixed,2019,
operating system,unknown,end of life,2019,
performance,unknown,fixed,2019,
configuration,unknown,repairable,2019,
configuration,unknown,repairable,2019,
operating system,unknown,repairable,2019,
configuration,unknown,end of life,2019,
integrated keyboard,unknown,fixed,2013,
virus/malware,lenovo,fixed,2019,
unknown,unknown,fixed,2019,
integrated screen,apple,repairable,2015,
integrated screen,apple,repairable,2019,
integrated screen,dell,repairable,2019,
power/battery,unknown,repairable,2019,
internal storage,ibm,fixed,2015,
integrated screen,unknown,repairable,2015,
ports/slots/connectors,unknown,fixed,2015,
ports/slots/connectors,apple,fixed,2015,
boot,unknown,fixed,2015,
configuration,dell,fixed,2015,
performance,apple,fixed,2015,
integrated keyboard,unknown,fixed,2020,
internal storage,unknown,repairable,2020,
power/battery,unknown,repairable,2020,
power/battery,unknown,fixed,2020,
virus/malware,unknown,fixed,2020,
unknown,unknown,fixed,2020,
unknown,unknown,fixed,2020,
unknown,unknown,fixed,2020,
unknown,unknown,fixed,2020,
unknown,hp,fixed,2020,
performance,unknown,repairable,2020,
performance,unknown,fixed,2015,
operating system,unknown,end of life,2015,
configuration,unknown,end of life,2015,
operating system,toshiba,fixed,2020,
virus/malware,apple,fixed,2020,
performance,unknown,fixed,2015,
configuration,apple,fixed,2020,
internal damage,unknown,fixed,2015,
integrated screen,unknown,end of life,2020,
system board,unknown,end of life,2020,
integrated screen,asus,repairable,2020,
integrated screen,unknown,repairable,2015,
integrated screen,lenovo,fixed,2015,
performance,apple,fixed,2015,
configuration,lenovo,fixed,2020,
internal storage,asus,repairable,2020,
virus/malware,unknown,fixed,2015,
power/battery,samsung,repairable,2020,
virus/malware,unknown,end of life,2013,
integrated screen,apple,repairable,2013,
performance,lenovo,repairable,2015,
power/battery,ibm,fixed,2015,
ports/slots/connectors,acer,fixed,2015,
case/chassis,unknown,fixed,2020,
configuration,unknown,repairable,2015,
configuration,hp,fixed,2015,
unknown,unknown,repairable,2020,
unknown,unknown,fixed,2020,
unknown,unknown,fixed,2020,
virus/malware,unknown,fixed,2015,
unknown,unknown,fixed,2020,
performance,hp,fixed,2015,
performance,hp,repairable,2015,
operating system,hp,fixed,2020,
internal storage,hp,fixed,2020,
virus/malware,hp,fixed,2020,
performance,unknown,fixed,2020,
power/battery,unknown,fixed,2020,
performance,unknown,fixed,2020,
integrated keyboard,unknown,repairable,2020,
unknown,unknown,fixed,2020,
unknown,unknown,fixed,2020,
ports/slots/connectors,unknown,fixed,2020,
ports/slots/connectors,unknown,repairable,2020,
unknown,unknown,repairable,2020,
operating system,hp,fixed,2015,
power/battery,ibm,fixed,2015,
performance,acer,repairable,2020,
internal storage,hp,repairable,2015,
boot,unknown,end of life,2013,
ports/slots/connectors,asus,fixed,2020,
operating system,unknown,fixed,2020,
performance,unknown,fixed,2020,
power/battery,unknown,repairable,2020,
internal damage,unknown,end of life,2020,
performance,hp,repairable,2020,
integrated media component,toshiba,fixed,2015,
system board,unknown,end of life,2015,
power/battery,samsung,end of life,2015,
configuration,medion,fixed,2020,
configuration,hp,fixed,2020,
configuration,lenovo,fixed,2020,
unknown,unknown,fixed,2020,
ports/slots/connectors,fujitsu,repairable,2020,
power/battery,acer,fixed,2020,
overheating,unbranded,fixed,2015,
unknown,acer,fixed,2015,
configuration,sony,fixed,2020,
power/battery,apple,fixed,2015,
performance,samsung,fixed,2015,
ports/slots/connectors,acer,fixed,2015,
power/battery,unknown,fixed,2015,
performance,apple,fixed,2015,
power/battery,apple,fixed,2013,
power/battery,unknown,fixed,2013,
unknown,unknown,fixed,2015,
boot,dell,fixed,2013,
integrated screen,unknown,end of life,2013,
unknown,unknown,fixed,2015,
unknown,unknown,end of life,2015,
unknown,unknown,end of life,2015,
unknown,unknown,repairable,2015,
performance,hp,fixed,2015,
performance,apple,fixed,2015,
performance,sony,fixed,2015,
performance,dell,repairable,2013,
power/battery,toshiba,repairable,2015,
power/battery,dell,repairable,2015,
boot,compaq,repairable,2015,
integrated screen,apple,repairable,2015,
overheating,dell,end of life,2013,
power/battery,unknown,fixed,2015,
operating system,toshiba,fixed,2015,
integrated screen,dell,fixed,2015,
power/battery,packard bell,end of life,2013,
performance,acer,fixed,2015,
performance,apple,fixed,2015,
integrated optical drive,hp,repairable,2013,
operating system,unknown,fixed,2015,
boot,acer,end of life,2013,
unknown,unknown,fixed,2015,
unknown,unknown,end of life,2015,
boot,toshiba,fixed,2013,
performance,lenovo,fixed,2015,
internal storage,samsung,repairable,2015,
overheating,dell,fixed,2015,
power/battery,apple,fixed,2015,
overheating,lenovo,fixed,2015,
ports/slots/connectors,asus,fixed,2015,
boot,hp,fixed,2015,
power/battery,asus,repairable,2015,
power/battery,acer,repairable,2015,
ports/slots/connectors,acer,fixed,2015,
unknown,unknown,fixed,2015,
unknown,unknown,fixed,2015,
ports/slots/connectors,samsung,fixed,2013,
system board,apple,fixed,2015,
power/battery,apple,end of life,2015,
overheating,hp,repairable,2015,
integrated screen,apple,fixed,2015,
performance,hp,fixed,2015,
integrated screen,toshiba,repairable,2015,
system board,hp,repairable,2015,
power/battery,apple,fixed,2015,
integrated screen,hp,repairable,2016,
integrated optical drive,acer,fixed,2016,
performance,lenovo,fixed,2016,
internal storage,hp,fixed,2016,
power/battery,hp,end of life,2013,
unknown,unknown,end of life,2016,
virus/malware,toshiba,repairable,2016,
integrated pointing device,apple,repairable,2013,
virus/malware,hp,fixed,2016,
power/battery,apple,repairable,2016,
power/battery,acer,fixed,2016,
configuration,toshiba,repairable,2016,
integrated keyboard,apple,fixed,2013,
ports/slots/connectors,acer,repairable,2016,
performance,unknown,fixed,2013,
power/battery,unknown,fixed,2016,
integrated screen,acer,fixed,2016,
boot,unknown,fixed,2013,
unknown,hp,fixed,2016,
unknown,unknown,fixed,2016,
unknown,asus,end of life,2016,
integrated screen,unknown,end of life,2013,
overheating,unknown,end of life,2013,
virus/malware,toshiba,repairable,2016,
power/battery,unknown,repairable,2013,
operating system,fujitsu,fixed,2016,
configuration,acer,fixed,2016,
performance,samsung,repairable,2016,
internal damage,acer,end of life,2016,
internal damage,unknown,repairable,2016,
power/battery,toshiba,end of life,2016,
boot,dell,repairable,2016,
unknown,dell,repairable,2016,
internal damage,apple,repairable,2016,
overheating,unknown,fixed,2016,
performance,unknown,repairable,2016,
unknown,unknown,fixed,2016,
boot,unknown,fixed,2016,
overheating,unknown,fixed,2016,
unknown,unknown,fixed,2013,
internal storage,apple,fixed,2016,
performance,sony,fixed,2016,
integrated screen,asus,repairable,2016,
virus/malware,unknown,repairable,2016,
performance,sony,fixed,2016,
system board,toshiba,fixed,2016,
power/battery,dell,fixed,2016,
internal storage,apple,fixed,2016,
integrated screen,sony,repairable,2016,
operating system,advent,repairable,2016,
power/battery,unknown,fixed,2013,
performance,unknown,fixed,2013,
unknown,unknown,repairable,2013,
performance,apple,fixed,2013,
virus/malware,apple,repairable,2016,
integrated screen,toshiba,repairable,2016,
power/battery,unknown,repairable,2013,
operating system,samsung,repairable,2016,
power/battery,dell,repairable,2016,
internal storage,dell,fixed,2016,
internal storage,apple,repairable,2016,
power/battery,sony,repairable,2016,
internal storage,apple,repairable,2013,
performance,apple,fixed,2016,
performance,unknown,repairable,2013,
performance,toshiba,fixed,2016,
unknown,unknown,repairable,2013,
configuration,unknown,repairable,2013,
performance,dell,repairable,2016,
integrated screen,unknown,repairable,2013,
performance,apple,fixed,2016,
performance,apple,fixed,2016,
ports/slots/connectors,samsung,fixed,2016,
configuration,hp,repairable,2016,
internal storage,toshiba,repairable,2016,
configuration,unknown,fixed,2016,
power/battery,unknown,repairable,2013,
internal storage,apple,repairable,2016,
integrated media component,unknown,repairable,2013,
virus/malware,hp,fixed,2016,
boot,dell,repairable,2016,
performance,asus,repairable,2016,
overheating,panasonic,repairable,2016,
unknown,unknown,fixed,2016,
operating system,dell,fixed,2016,
operating system,hp,fixed,2016,
performance,toshiba,fixed,2016,
operating system,apple,repairable,2016,
power/battery,apple,fixed,2016,
performance,unknown,repairable,2013,
unknown,hp,fixed,2016,
unknown,apple,fixed,2016,
unknown,dell,end of life,2016,
unknown,unknown,repairable,2013,
unknown,unknown,fixed,2013,
unknown,unknown,fixed,2013,
unknown,unknown,end of life,2013,
boot,acer,repairable,2016,
internal storage,hp,fixed,2016,
performance,sony,fixed,2016,
integrated pointing device,compaq,fixed,2016,
unknown,asus,fixed,2016,
configuration,unknown,fixed,2016,
power/battery,apple,repairable,2016,
virus/malware,unknown,repairable,2016,
virus/malware,unknown,fixed,2016,
unknown,unknown,repairable,2016,
configuration,unknown,repairable,2016,
operating system,unknown,fixed,2016,
unknown,unknown,repairable,2016,
configuration,unknown,fixed,2016,
performance,samsung,fixed,2016,
operating system,lenovo,fixed,2016,
unknown,asus,end of life,2016,
power/battery,toshiba,repairable,2013,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
overheating,unknown,fixed,2013,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
boot,toshiba,repairable,2013,
internal storage,apple,fixed,2016,
internal storage,apple,fixed,2016,
operating system,unknown,fixed,2016,
integrated screen,sony,fixed,2016,
configuration,acer,fixed,2016,
ports/slots/connectors,hp,fixed,2016,
unknown,unknown,fixed,2016,
overheating,hp,repairable,2016,
integrated pointing device,apple,fixed,2016,
boot,unknown,end of life,2013,
performance,apple,fixed,2016,
power/battery,acer,end of life,2016,
unknown,acer,fixed,2016,
power/battery,samsung,repairable,2016,
performance,dospara,repairable,2016,
operating system,toshiba,repairable,2016,
ports/slots/connectors,unknown,repairable,2016,
ports/slots/connectors,unknown,repairable,2016,
boot,unknown,end of life,2013,
internal storage,unknown,repairable,2016,
unknown,unknown,repairable,2016,
power/battery,apple,fixed,2016,
multiple,toshiba,fixed,2016,
ports/slots/connectors,unknown,fixed,2013,
operating system,asus,fixed,2016,
performance,toshiba,fixed,2016,
case/chassis,asus,repairable,2016,
power/battery,apple,repairable,2016,
virus/malware,toshiba,fixed,2016,
performance,toshiba,fixed,2016,
ports/slots/connectors,toshiba,end of life,2013,
performance,toshiba,repairable,2016,
ports/slots/connectors,unknown,repairable,2016,
integrated screen,toshiba,fixed,2016,
unknown,packard bell,repairable,2016,
unknown,apple,fixed,2013,
unknown,apple,repairable,2016,
unknown,unknown,fixed,2016,
unknown,unknown,fixed,2016,
ports/slots/connectors,dell,end of life,2013,
unknown,unknown,end of life,2016,
unknown,unknown,fixed,2016,
configuration,dell,fixed,2013,
performance,unknown,fixed,2016,
integrated screen,unknown,repairable,2016,
integrated keyboard,unknown,fixed,2016,
performance,apple,fixed,2016,
performance,unknown,fixed,2016,
unknown,unknown,fixed,2014,
performance,toshiba,repairable,2016,
performance,acer,fixed,2016,
performance,acer,fixed,2016,
performance,apple,repairable,2016,
internal storage,dell,repairable,2016,
ports/slots/connectors,acer,fixed,2016,
internal storage,unknown,fixed,2016,
unknown,unknown,fixed,2014,
unknown,unknown,end of life,2016,
unknown,unknown,end of life,2016,
unknown,unknown,repairable,2016,
performance,dell,fixed,2014,
performance,hp,repairable,2016,
ports/slots/connectors,unknown,fixed,2016,
unknown,dell,repairable,2016,
overheating,unknown,fixed,2016,
overheating,apple,fixed,2016,
unknown,samsung,fixed,2016,
power/battery,apple,repairable,2016,
power/battery,sony,repairable,2016,
integrated screen,apple,fixed,2016,
power/battery,sony,repairable,2016,
ports/slots/connectors,hp,repairable,2016,
